time_unix,time_lsl,offset_unix_minus_lsl,read_uncertainty_s
1788107632.899911880,324960.052097541,1787782672.847814322,0.000004053
1788107633.905008316,324961.057206166,1787782672.847802162,0.000026941
1788107634.905213594,324962.057407333,1787782672.847806215,0.000009060
1788107635.910299063,324963.062498583,1787782672.847800493,0.000018120
1788107636.914618492,324964.066820041,1787782672.847798347,0.000015259
1788107637.919464111,324965.071668666,1787782672.847795486,0.000016212
1788107638.924568892,324966.076776250,1787782672.847792625,0.000016212
1788107639.925928116,324967.078138833,1787782672.847789288,0.000016212
1788107640.929939985,324968.082153875,1787782672.847786188,0.000018120
1788107641.930305481,324969.082520083,1787782672.847785473,0.000013113
1788107642.935235500,324970.087455166,1787782672.847780228,0.000018835
1788107643.938078642,324971.090298125,1787782672.847780466,0.000010967
1788107644.943155050,324972.095377291,1787782672.847777843,0.000008106
1788107645.945513248,324973.097737416,1787782672.847775936,0.000007868
1788107646.947040558,324974.099271708,1787782672.847768784,0.000019073
1788107647.951796532,324975.104029291,1787782672.847767353,0.000014782
1788107648.953071117,324976.105307625,1787782672.847763538,0.000018358
1788107649.954227448,324977.106467166,1787782672.847760201,0.000016689
1788107650.956736088,324978.108976000,1787782672.847760201,0.000011683
1788107651.959119320,324979.111363833,1787782672.847755432,0.000015020
1788107652.964176893,324980.116419208,1787782672.847757578,0.000001907
1788107653.969297409,324981.121553291,1787782672.847744226,0.000026941
1788107654.971826077,324982.124076500,1787782672.847749472,0.000010014
1788107655.972229481,324983.124485916,1787782672.847743511,0.000017166
1788107656.976193428,324984.128450583,1787782672.847742796,0.000009060
1788107657.980450153,324985.132712208,1787782672.847738028,0.000015974
1788107658.985060930,324986.137326541,1787782672.847734451,0.000018120
1788107659.990185499,324987.142454333,1787782672.847731113,0.000019073
1788107660.993911505,324988.146181625,1787782672.847729921,0.000014782
1788107661.997719765,324989.149906666,1787782672.847813129,0.000177145
1788107663.001848459,324990.154124083,1787782672.847724438,0.000015259
1788107664.002654552,324991.154934500,1787782672.847720146,0.000016928
1788107665.002970457,324992.155253416,1787782672.847717047,0.000019073
1788107666.007119179,324993.159401208,1787782672.847718000,0.000007868
1788107667.012303114,324994.164592875,1787782672.847710133,0.000020027
1788107668.017666817,324995.169955083,1787782672.847711802,0.000007868
1788107669.021830559,324996.174123083,1787782672.847707510,0.000013113
1788107670.026782036,324997.179075583,1787782672.847706556,0.000007868
1788107671.029912949,324998.182211583,1787782672.847701311,0.000014067
1788107672.036794662,324999.189100291,1787782672.847694397,0.000020981
1788107673.041872978,325000.194173958,1787782672.847698927,0.000005960
1788107674.048331499,325001.200641583,1787782672.847689867,0.000019073
1788107675.053284645,325002.205594708,1787782672.847689867,0.000013113
1788107676.058387995,325003.210701208,1787782672.847686768,0.000013828
1788107677.059756517,325004.212070000,1787782672.847686529,0.000007153
1788107678.064584732,325005.216901708,1787782672.847682953,0.000008821
1788107679.068712711,325006.221033791,1787782672.847678900,0.000011206
1788107680.071977615,325007.224304333,1787782672.847673178,0.000018835
1788107681.077091455,325008.229417666,1787782672.847673893,0.000009060
1788107682.082204342,325009.234536958,1787782672.847667456,0.000018835
1788107683.087317944,325010.239652416,1787782672.847665548,0.000015974
1788107684.092119455,325011.244455250,1787782672.847664118,0.000010967
1788107685.095640421,325012.247981333,1787782672.847659111,0.000017166
1788107686.100455523,325013.252798166,1787782672.847657442,0.000015259
1788107687.105427742,325014.257772083,1787782672.847655773,0.000013113
1788107688.109630108,325015.261979583,1787782672.847650528,0.000017881
1788107689.113997936,325016.266350083,1787782672.847647905,0.000017881
1788107690.117712021,325017.270066291,1787782672.847645760,0.000016212
1788107691.118783951,325018.271142000,1787782672.847641945,0.000015736
1788107692.124050617,325019.276409166,1787782672.847641468,0.000010967
1788107693.129158974,325020.281522750,1787782672.847636223,0.000017881
1788107694.133687496,325021.286054166,1787782672.847633362,0.000016928
1788107695.134461403,325022.286830500,1787782672.847630978,0.000019073
1788107696.135737419,325023.288107958,1787782672.847629547,0.000013113
1788107697.140626431,325024.293002541,1787782672.847623825,0.000019073
1788107698.145780087,325025.298158458,1787782672.847621679,0.000017881
1788107699.150330067,325026.302711125,1787782672.847619057,0.000018120
1788107700.153158903,325027.305542916,1787782672.847615957,0.000018120
1788107701.158303976,325028.310691916,1787782672.847612143,0.000020027
1788107702.159613609,325029.312003500,1787782672.847609997,0.000016928
1788107703.163937330,325030.316327875,1787782672.847609520,0.000010967
1788107704.169027328,325031.321421625,1787782672.847605705,0.000013113
1788107705.170773029,325032.323168708,1787782672.847604275,0.000011921
1788107706.172953606,325033.325352958,1787782672.847600698,0.000013113
1788107707.178058147,325034.330462583,1787782672.847595453,0.000017881
1788107708.182790518,325035.335195791,1787782672.847594738,0.000012875
1788107709.184634924,325036.337041958,1787782672.847593069,0.000010014
1788107710.185172558,325037.337585083,1787782672.847587585,0.000016928
1788107711.189340591,325038.341756458,1787782672.847584248,0.000017166
1788107712.194468021,325039.346887708,1787782672.847580194,0.000020027
1788107713.197613239,325040.350034958,1787782672.847578287,0.000017881
1788107714.201194286,325041.353617166,1787782672.847577095,0.000012159
1788107715.202772617,325042.355198916,1787782672.847573757,0.000015020
1788107716.202989578,325043.355420666,1787782672.847568989,0.000016689
1788107717.206204414,325044.358633958,1787782672.847570419,0.000006914
1788107718.210380077,325045.362816875,1787782672.847563267,0.000020027
1788107719.214498043,325046.366936750,1787782672.847561359,0.000015736
1788107720.219588280,325047.372026333,1787782672.847561836,0.000006914
1788107721.224674940,325048.377117125,1787782672.847557783,0.000011921
1788107722.229760408,325049.382205250,1787782672.847555161,0.000010967
