t_rel_s,code,label,time_unix,time_lsl,time_perf,offset_unix_minus_lsl,time_webapp,webapp_minus_local_ms,inserted_to_board,raw
77.096652,441.000000,441,1788108813.535829,326140.667858,100975.553340,1787782672.867971,1788108813.534000,-1.829147,True,"{""marker"":441,""timestamp"":1788108813.534}"
77.097038,411.000000,411,1788108813.536215,326140.668243,100975.553723,1787782672.867972,1788108813.534000,-2.215147,True,"{""marker"":411,""timestamp"":1788108813.534}"
77.097144,420.000000,420,1788108813.536321,326140.668348,100975.553827,1787782672.867973,1788108813.534000,-2.321243,True,"{""marker"":420,""timestamp"":1788108813.534}"
77.638171,431.000000,431,1788108814.077348,326141.209374,100976.094854,1787782672.867974,1788108814.076000,-1.348019,True,"{""marker"":431,""timestamp"":1788108814.076}"
78.695669,441.000000,441,1788108815.134846,326142.266875,100977.152360,1787782672.867971,1788108815.133000,-1.846552,True,"{""marker"":441,""timestamp"":1788108815.133}"
78.696308,411.000000,411,1788108815.135485,326142.267526,100977.153008,1787782672.867959,1788108815.133000,-2.485037,True,"{""marker"":411,""timestamp"":1788108815.133}"
78.696523,420.000000,420,1788108815.135700,326142.267724,100977.153203,1787782672.867976,1788108815.133000,-2.700090,True,"{""marker"":420,""timestamp"":1788108815.133}"
79.264853,431.000000,431,1788108815.704030,326142.836055,100977.721536,1787782672.867975,1788108815.702000,-2.030134,True,"{""marker"":431,""timestamp"":1788108815.702}"
80.252131,441.000000,441,1788108816.691308,326143.823333,100978.708818,1787782672.867975,1788108816.690000,-1.307964,True,"{""marker"":441,""timestamp"":1788108816.69}"
80.252997,401.000000,401,1788108816.692174,326143.824197,100978.709677,1787782672.867977,1788108816.690000,-2.173901,True,"{""marker"":401,""timestamp"":1788108816.69}"
83.850507,120.000000,120,1788108820.289685,326147.421701,100982.307182,1787782672.867984,1788108820.288000,-1.684427,True,"{""marker"":120,""timestamp"":1788108820.288}"
85.857803,121.000000,121,1788108822.296980,326149.428995,100984.314500,1787782672.867985,1788108822.296000,-0.980377,True,"{""marker"":121,""timestamp"":1788108822.296}"
85.858602,201.000000,201,1788108822.297779,326149.429790,100984.315271,1787782672.867989,1788108822.296000,-1.779079,True,"{""marker"":201,""timestamp"":1788108822.296}"
86.069026,211.000000,211,1788108822.508203,326149.640215,100984.525697,1787782672.867987,1788108822.507000,-1.202583,True,"{""marker"":211,""timestamp"":1788108822.507}"
86.856647,220.000000,220,1788108823.295824,326150.427834,100985.313315,1787782672.867989,1788108823.294000,-1.823664,True,"{""marker"":220,""timestamp"":1788108823.294}"
86.857031,211.000000,211,1788108823.296208,326150.428217,100985.313697,1787782672.867990,1788108823.295000,-1.207829,True,"{""marker"":211,""timestamp"":1788108823.295}"
87.398099,220.000000,220,1788108823.837276,326150.969287,100985.854770,1787782672.867989,1788108823.836000,-1.276493,True,"{""marker"":220,""timestamp"":1788108823.836}"
87.398504,211.000000,211,1788108823.837681,326150.969690,100985.855170,1787782672.867990,1788108823.836000,-1.681089,True,"{""marker"":211,""timestamp"":1788108823.836}"
87.786837,220.000000,220,1788108824.226014,326151.358026,100986.243509,1787782672.867988,1788108824.225000,-1.013756,True,"{""marker"":220,""timestamp"":1788108824.225}"
87.787269,300.000000,300,1788108824.226446,326151.358455,100986.243935,1787782672.867991,1788108824.225000,-1.446009,True,"{""marker"":300,""timestamp"":1788108824.225}"
88.388124,310.000000,310,1788108824.827301,326151.959311,100986.844794,1787782672.867990,1788108824.825000,-2.300978,True,"{""marker"":310,""timestamp"":1788108824.825}"
89.434992,330.000000,330,1788108825.874169,326153.006176,100987.891658,1787782672.867993,1788108825.873000,-1.169443,True,"{""marker"":330,""timestamp"":1788108825.873}"
89.764538,320.000000,320,1788108826.203715,326153.335721,100988.221203,1787782672.867994,1788108826.203000,-0.714540,True,"{""marker"":320,""timestamp"":1788108826.203}"
89.764991,340.000000,340,1788108826.204168,326153.336174,100988.221653,1787782672.867995,1788108826.203000,-1.168251,True,"{""marker"":340,""timestamp"":1788108826.203}"
90.592299,341.000000,341,1788108827.031476,326154.163482,100989.048965,1787782672.867994,1788108827.030000,-1.476049,True,"{""marker"":341,""timestamp"":1788108827.03}"
90.592730,211.000000,211,1788108827.031907,326154.163911,100989.049390,1787782672.867996,1788108827.030000,-1.907110,True,"{""marker"":211,""timestamp"":1788108827.03}"
91.336443,220.000000,220,1788108827.775620,326154.907624,100989.793105,1787782672.867996,1788108827.774000,-1.620054,True,"{""marker"":220,""timestamp"":1788108827.774}"
91.336830,211.000000,211,1788108827.776007,326154.908010,100989.793488,1787782672.867997,1788108827.775000,-1.006842,True,"{""marker"":211,""timestamp"":1788108827.775}"
91.774218,220.000000,220,1788108828.213395,326155.345400,100990.230881,1787782672.867996,1788108828.212000,-1.395226,True,"{""marker"":220,""timestamp"":1788108828.212}"
91.774536,300.000000,300,1788108828.213713,326155.345715,100990.231194,1787782672.867998,1788108828.212000,-1.713037,True,"{""marker"":300,""timestamp"":1788108828.212}"
92.404055,310.000000,310,1788108828.843232,326155.975235,100990.860716,1787782672.867997,1788108828.841000,-2.231836,True,"{""marker"":310,""timestamp"":1788108828.841}"
92.842510,330.000000,330,1788108829.281687,326156.413695,100991.299178,1787782672.867991,1788108829.280000,-1.686573,True,"{""marker"":330,""timestamp"":1788108829.28}"
93.205196,320.000000,320,1788108829.644373,326156.776376,100991.661858,1787782672.867997,1788108829.643000,-1.373053,True,"{""marker"":320,""timestamp"":1788108829.643}"
93.205666,340.000000,340,1788108829.644843,326156.776843,100991.662322,1787782672.868000,1788108829.644000,-0.842571,True,"{""marker"":340,""timestamp"":1788108829.644}"
93.589302,341.000000,341,1788108830.028479,326157.160497,100992.045981,1787782672.867982,1788108830.027000,-1.478672,True,"{""marker"":341,""timestamp"":1788108830.027}"
93.589700,211.000000,211,1788108830.028877,326157.160877,100992.046356,1787782672.868000,1788108830.028000,-0.876904,True,"{""marker"":211,""timestamp"":1788108830.028}"
94.075961,220.000000,220,1788108830.515138,326157.647140,100992.532622,1787782672.867998,1788108830.514000,-1.137972,True,"{""marker"":220,""timestamp"":1788108830.514}"
94.076324,300.000000,300,1788108830.515501,326157.647500,100992.532979,1787782672.868001,1788108830.514000,-1.501083,True,"{""marker"":300,""timestamp"":1788108830.514}"
94.641876,310.000000,310,1788108831.081053,326158.213056,100993.098541,1787782672.867996,1788108831.079000,-2.052546,True,"{""marker"":310,""timestamp"":1788108831.079}"
95.118551,330.000000,330,1788108831.557728,326158.689727,100993.575209,1787782672.868001,1788108831.556000,-1.728058,True,"{""marker"":330,""timestamp"":1788108831.556}"
95.473212,320.000000,320,1788108831.912389,326159.044389,100993.929870,1787782672.868000,1788108831.911000,-1.389265,True,"{""marker"":320,""timestamp"":1788108831.911}"
95.473738,340.000000,340,1788108831.912915,326159.044918,100993.930398,1787782672.867997,1788108831.911000,-1.915216,True,"{""marker"":340,""timestamp"":1788108831.911}"
96.025062,341.000000,341,1788108832.464239,326159.596238,100994.481719,1787782672.868001,1788108832.462000,-2.239227,True,"{""marker"":341,""timestamp"":1788108832.462}"
96.025317,211.000000,211,1788108832.464494,326159.596491,100994.481970,1787782672.868004,1788108832.463000,-1.494169,True,"{""marker"":211,""timestamp"":1788108832.463}"
96.472829,220.000000,220,1788108832.912006,326160.044004,100994.929486,1787782672.868002,1788108832.910000,-2.006292,True,"{""marker"":220,""timestamp"":1788108832.91}"
96.473268,211.000000,211,1788108832.912445,326160.044440,100994.929920,1787782672.868004,1788108832.911000,-1.444578,True,"{""marker"":211,""timestamp"":1788108832.911}"
96.903942,220.000000,220,1788108833.343119,326160.475118,100995.360602,1787782672.868001,1788108833.342000,-1.119137,True,"{""marker"":220,""timestamp"":1788108833.342}"
96.904431,300.000000,300,1788108833.343608,326160.475605,100995.361085,1787782672.868004,1788108833.342000,-1.608372,True,"{""marker"":300,""timestamp"":1788108833.342}"
97.760092,310.000000,310,1788108834.199269,326161.331265,100996.216748,1787782672.868004,1788108834.198000,-1.269341,True,"{""marker"":310,""timestamp"":1788108834.198}"
98.184698,330.000000,330,1788108834.623875,326161.755869,100996.641350,1787782672.868006,1788108834.622000,-1.874685,True,"{""marker"":330,""timestamp"":1788108834.622}"
98.529053,320.000000,320,1788108834.968230,326162.100225,100996.985706,1787782672.868005,1788108834.967000,-1.230001,True,"{""marker"":320,""timestamp"":1788108834.967}"
