time_unix,time_lsl,offset_unix_minus_lsl,read_uncertainty_s
1788108804.677813053,326131.809862250,1787782672.867950916,0.000004053
1788108805.682952404,326132.815005916,1787782672.867946386,0.000023127
1788108806.685955048,326133.817998541,1787782672.867956400,0.000004053
1788108807.689992666,326134.822035750,1787782672.867956877,0.000010967
1788108808.690277100,326135.822316791,1787782672.867960215,0.000007868
1788108809.692002058,326136.824038500,1787782672.867963552,0.000006199
1788108810.697106123,326137.829141708,1787782672.867964506,0.000010014
1788108811.702194214,326138.834227166,1787782672.867967129,0.000007868
1788108812.707306385,326139.839345583,1787782672.867960691,0.000026941
1788108813.712419987,326140.844449375,1787782672.867970705,0.000010014
1788108814.717364073,326141.849391250,1787782672.867972851,0.000008106
1788108815.720427990,326142.852454250,1787782672.867973804,0.000010014
1788108816.723185539,326143.855210125,1787782672.867975473,0.000010967
1788108817.727664948,326144.859689083,1787782672.867975950,0.000018120
1788108818.728879929,326145.860899333,1787782672.867980480,0.000007868
1788108819.731947899,326146.863969791,1787782672.867978096,0.000017881
1788108820.736043453,326147.868059791,1787782672.867983580,0.000009298
1788108821.736150026,326148.868164000,1787782672.867985964,0.000006199
1788108822.736297607,326149.868309166,1787782672.867988348,0.000005007
1788108823.739597321,326150.871607250,1787782672.867990017,0.000005007
1788108824.740571022,326151.872580000,1787782672.867990971,0.000008106
1788108825.740724087,326152.872730625,1787782672.867993355,0.000005960
1788108826.745798588,326153.877804083,1787782672.867994547,0.000004768
1788108827.748326540,326154.880330916,1787782672.867995739,0.000004768
1788108828.749202251,326155.881204291,1787782672.867997885,0.000003099
1788108829.749448061,326156.881449125,1787782672.867998838,0.000005722
1788108830.754520893,326157.886521333,1787782672.867999554,0.000005960
1788108831.757577896,326158.889576375,1787782672.868001461,0.000004053
1788108832.762715578,326159.894713166,1787782672.868002415,0.000004768
1788108833.766417503,326160.898413000,1787782672.868004560,0.000003099
1788108834.771499634,326161.903493958,1787782672.868005753,0.000005007
1788108835.776592016,326162.908586250,1787782672.868005753,0.000008106
1788108836.781660557,326163.913652166,1787782672.868008375,0.000003099
1788108837.783131599,326164.915123416,1787782672.868008137,0.000006914
1788108838.786595583,326165.918584208,1787782672.868011475,0.000002861
1788108839.788902760,326166.920891916,1787782672.868010759,0.000006914
1788108840.792804003,326167.924795958,1787782672.868008137,0.000018120
1788108841.797904968,326168.929892416,1787782672.868012667,0.000007868
1788108842.803004026,326169.934991041,1787782672.868012905,0.000010014
1788108843.808102131,326170.940086791,1787782672.868015289,0.000007868
1788108844.811518431,326171.943505958,1787782672.868012428,0.000014782
1788108845.816604137,326172.948585416,1787782672.868018627,0.000003815
1788108846.820481539,326173.952466875,1787782672.868014574,0.000016689
1788108847.823797941,326174.955778958,1787782672.868018866,0.000008106
1788108848.827964067,326175.959944666,1787782672.868019342,0.000011921
1788108849.833088398,326176.965068833,1787782672.868019581,0.000012636
1788108850.838203430,326177.970181458,1787782672.868021965,0.000008821
1788108851.843284607,326178.975259625,1787782672.868025064,0.000005007
1788108852.848369598,326179.980345708,1787782672.868023872,0.000010967
1788108853.852882385,326180.984856000,1787782672.868026495,0.000006914
1788108854.857416630,326181.989388833,1787782672.868027687,0.000005007
1788108855.860132456,326182.992102250,1787782672.868030310,0.000002861
1788108856.862347603,326183.994318250,1787782672.868029356,0.000007153
1788108857.867444515,326184.999413333,1787782672.868031263,0.000005245
1788108858.869529486,326186.001496625,1787782672.868032932,0.000004768
1788108859.873227119,326187.005196333,1787782672.868030787,0.000013828
1788108860.873324394,326188.005289833,1787782672.868034601,0.000005007
1788108861.878404140,326189.010368416,1787782672.868035793,0.000005960
1788108862.882141590,326190.014105625,1787782672.868036032,0.000006914
1788108863.885375977,326191.017343625,1787782672.868032455,0.000020027
1788108864.890461922,326192.022423291,1787782672.868038654,0.000006199
1788108865.894630909,326193.026591500,1787782672.868039370,0.000005960
1788108866.899631023,326194.031591791,1787782672.868039131,0.000007868
1788108867.899764061,326195.031723083,1787782672.868041039,0.000005960
1788108868.904834509,326196.036791500,1787782672.868042946,0.000005245
1788108869.907232046,326197.039190208,1787782672.868041754,0.000011921
1788108870.911236525,326198.043193041,1787782672.868043423,0.000009060
1788108871.915499449,326199.047454333,1787782672.868045092,0.000007153
1788108872.916885614,326200.048839041,1787782672.868046522,0.000007153
1788108873.922002554,326201.053956791,1787782672.868045807,0.000010967
1788108874.923009396,326202.054960458,1787782672.868048906,0.000005007
1788108875.923334599,326203.055287333,1787782672.868047237,0.000010967
1788108876.928408146,326204.060356291,1787782672.868051767,0.000004053
1788108877.928813457,326205.060761291,1787782672.868052244,0.000005007
1788108878.932543516,326206.064490500,1787782672.868052959,0.000005245
1788108879.932763577,326207.064709916,1787782672.868053675,0.000006914
1788108880.937864065,326208.069809791,1787782672.868054390,0.000005722
1788108881.942958355,326209.074903375,1787782672.868054867,0.000006914
1788108882.944608450,326210.076553041,1787782672.868055344,0.000007153
1788108883.944870949,326211.076814166,1787782672.868056774,0.000010014
1788108884.949965954,326212.081907791,1787782672.868058205,0.000005722
1788108885.953736305,326213.085680208,1787782672.868056059,0.000016928
1788108886.957778931,326214.089719208,1787782672.868059635,0.000007868
1788108887.960288048,326215.092225666,1787782672.868062496,0.000004053
1788108888.965371132,326216.097308041,1787782672.868062973,0.000005960
1788108889.966275930,326217.098214166,1787782672.868061781,0.000010014
1788108890.967442513,326218.099378000,1787782672.868064404,0.000005007
1788108891.972537041,326219.104472375,1787782672.868064642,0.000010014
1788108892.975664616,326220.107598458,1787782672.868066072,0.000006914
1788108893.978658438,326221.110593083,1787782672.868065357,0.000010967
1788108894.983134270,326222.115068708,1787782672.868065596,0.000014067
1788108895.988221645,326223.120151916,1787782672.868069649,0.000006914
1788108896.988595963,326224.120528833,1787782672.868067026,0.000013828
1788108897.991178989,326225.123112000,1787782672.868067026,0.000018120
1788108898.995741129,326226.127670250,1787782672.868070841,0.000010014
1788108900.000813961,326227.132740958,1787782672.868072987,0.000005722
1788108901.003902435,326228.135832583,1787782672.868069887,0.000019073
1788108902.008192539,326229.140121083,1787782672.868071556,0.000014782
1788108903.013344288,326230.145270000,1787782672.868074179,0.000010967
1788108904.018589020,326231.150517541,1787782672.868071556,0.000019789
1788108905.023320913,326232.155246500,1787782672.868074417,0.000016212
1788108906.025252819,326233.157174125,1787782672.868078709,0.000005960
1788108907.028749943,326234.160672000,1787782672.868077993,0.000011921
1788108908.033850431,326235.165770416,1787782672.868079901,0.000010967
1788108909.038961411,326236.170881583,1787782672.868079901,0.000013113
